iter	Passed	Remaining
337	1335	2615
338	1337	2608
339	1341	2603
340	1342	2594
341	1343	2584
342	1344	2575
343	1345	2565
344	1346	2555
345	1347	2546
346	1347	2536
347	1348	2526
348	1350	2518
349	1351	2510
350	1352	2501
351	1354	2492
352	1356	2485
353	1357	2476
354	1358	2467
355	1359	2458
356	1360	2449
357	1361	2440
358	1363	2435
359	1372	2439
360	1373	2431
361	1374	2422
362	1375	2413
363	1376	2405
364	1377	2396
365	1378	2388
366	1379	2380
367	1383	2376
368	1385	2369
369	1386	2361
370	1388	2353
371	1388	2344
372	1389	2336
373	1390	2327
374	1391	2319
375	1394	2314
376	1396	2308
377	1398	2300
378	1399	2292
379	1400	2285
380	1401	2277
381	1407	2276
382	1412	2275
383	1414	2268
384	1415	2261
385	1416	2253
386	1430	2266
387	1432	2259
388	1433	2251
389	1434	2243
390	1435	2235
391	1444	2240
392	1445	2233
393	1447	2226
394	1449	2219
395	1450	2211
396	1451	2204
397	1459	2207
398	1461	2201
399	1463	2195
400	1465	2188
401	1468	2184
402	1470	2178
403	1472	2171
404	1474	2165
405	1475	2158
406	1476	2151
407	1477	2143
408	1479	2137
409	1480	2131
410	1484	2128
411	1490	2126
412	1491	2119
413	1492	2112
414	1495	2108
415	1496	2101
416	1501	2099
417	1505	2095
418	1509	2092
419	1510	2085
420	1511	2078
421	1521	2084
422	1523	2078
423	1524	2071
424	1525	2064
425	1526	2057
426	1529	2052
427	1537	2054
